loan_type,interest_rate,loan_term_months,inflation_rate,loan_amount,channel,amortization_method,total_monthly_payments,total_mortgage_interest,total_investment_amount,total_investment_final_value,total_investment_profit,total_investment_taxes,total_investment_profit_after_tax,total_investment_net_value_after_tax,total_cost_interest_minus_profit,extraction_timestamp,source_file
משתנה לא צמודה כל 5,4.83,150,3.0,100000,קבועה לא צמודה,בוליט,150,60375.00,118827.50,186750.54,32256.24,10752.08,,175998.46,28118.76,20250724_230647,loan_משתנה לא צמודה כל 5_int_4.83_term_150_infl_3.0_summary.csv
יורו,3.67,210,1.0,100000,יורו,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_000805,loan_יורו_int_3.67_term_210_infl_1.0_summary.csv
קבועה צמודה,3.63,300,3.0,100000,קבועה צמודה,בוליט,300,135254.66,224185.13,620617.11,209969.46,69989.82,,550627.29,-74714.80,20250725_002931,loan_קבועה צמודה_int_3.63_term_300_infl_3.0_summary.csv
פריים,5.04,60,2.0,100000,פריים,בוליט,60,25200.00,46020.00,54752.77,3869.71,1289.90,,53462.86,21330.29,20250724_224625,loan_פריים_int_5.04_term_60_infl_2.0_summary.csv
יורו,3.55,360,1.0,100000,יורו,בוליט,360,106500.00,324595.83,1056475.90,400595.27,133531.76,,922944.14,-294095.27,20250725_004732,loan_יורו_int_3.55_term_360_infl_1.0_summary.csv
משתנה צמודה כל שנה,3.83,30,1.0,100000,משתנה צמודה כל שנה,בוליט,300,108821.15,250388.63,664304.17,218497.00,72832.33,,591471.84,-109675.85,20250724_232327,loan_משתנה צמודה כל שנה_int_3.83_term_30_infl_1.0_summary.csv
דולר,3.67,210,3.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_000924,loan_דולר_int_3.67_term_210_infl_3.0_summary.csv
משתנה צמודה כל 2,3.55,330,1.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004308,loan_משתנה צמודה כל 2_int_3.55_term_330_infl_1.0_summary.csv
משתנה צמודה כל 10,3.55,360,1.0,100000,משתנה צמודה כל 10,בוליט,360,124243.46,306955.82,1017914.40,389731.59,129910.53,,888003.87,-265488.13,20250725_005156,loan_משתנה צמודה כל 10_int_3.55_term_360_infl_1.0_summary.csv
"עוגן מק""מ",3.63,270,3.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002603,"loan_עוגן מק""מ_int_3.63_term_270_infl_3.0_summary.csv"
משתנה צמודה כל 10,3.55,330,4.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004438,loan_משתנה צמודה כל 10_int_3.55_term_330_infl_4.0_summary.csv
קבועה צמודה,3.45,90,3.0,100000,קבועה צמודה,בוליט,90,29049.12,78110.82,102074.27,10876.68,3625.56,,98448.71,18172.45,20250724_233426,loan_קבועה צמודה_int_3.45_term_90_infl_3.0_summary.csv
משתנה צמודה כל 10,3.63,270,3.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002838,loan_משתנה צמודה כל 10_int_3.63_term_270_infl_3.0_summary.csv
זכאות,3.35,150,1.0,100000,זכאות,בוליט,150,44622.13,134494.19,211969.29,36804.56,12268.19,,199701.11,7817.57,20250724_235128,loan_זכאות_int_3.35_term_150_infl_1.0_summary.csv
משתנה צמודה כל 5,3.63,270,4.0,100000,קבועה צמודה,בוליט,270,132565.58,190977.34,481791.30,151197.71,50399.24,,431392.06,-18632.13,20250725_002245,loan_משתנה צמודה כל 5_int_3.63_term_270_infl_4.0_summary.csv
משתנה לא צמודה כל 5,4.83,180,2.0,100000,משתנה לא צמודה כל 5,בוליט,180,72450.00,142752.50,247308.55,50760.09,16920.03,,230388.52,21689.91,20250724_225328,loan_משתנה לא צמודה כל 5_int_4.83_term_180_infl_2.0_summary.csv
משתנה צמודה כל 10,3.35,180,4.0,100000,משתנה צמודה כל 2,בוליט,180,68929.26,146378.91,259339.21,54966.37,18322.12,,241017.08,13962.89,20250725_000514,loan_משתנה צמודה כל 10_int_3.35_term_180_infl_4.0_summary.csv
קבועה צמודה,3.83,60,3.0,100000,קבועה צמודה,בוליט,60,20684.66,50486.09,60164.72,4289.78,1429.93,,58734.79,16394.87,20250724_232632,loan_קבועה צמודה_int_3.83_term_60_infl_3.0_summary.csv
קבועה לא צמודה,4.96,210,2.0,100000,קבועה לא צמודה,בוליט,210,86800.00,164413.33,314693.32,74543.49,24847.83,,289845.49,12256.51,20250724_230819,loan_קבועה לא צמודה_int_4.96_term_210_infl_2.0_summary.csv
דולר,3.83,60,2.0,100000,דולר,בוליט,60,19150.00,51969.17,61830.85,4369.97,1456.66,,60374.20,14780.03,20250724_232949,loan_דולר_int_3.83_term_60_infl_2.0_summary.csv
משתנה צמודה כל שנה,3.67,210,4.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_001121,loan_משתנה צמודה כל שנה_int_3.67_term_210_infl_4.0_summary.csv
זכאות,3.45,90,1.0,100000,זכאות,בוליט,90,26880.80,80229.08,104594.99,11056.09,3685.36,,100909.63,15824.70,20250724_233544,loan_זכאות_int_3.45_term_90_infl_1.0_summary.csv
קבועה צמודה,3.55,330,2.0,100000,קבועה צמודה,בוליט,330,130228.28,265084.24,802326.55,289573.79,96524.60,,705801.95,-159345.52,20250725_003714,loan_קבועה צמודה_int_3.55_term_330_infl_2.0_summary.csv
משתנה צמודה כל 5,3.45,120,1.0,100000,משתנה צמודה כל 5,בוליט,120,36298.31,106819.41,152928.07,21412.63,7137.54,,145790.52,14885.68,20250724_234242,loan_משתנה צמודה כל 5_int_3.45_term_120_infl_1.0_summary.csv
קבועה לא צמודה,4.92,120,4.0,100000,קבועה לא צמודה,בוליט,120,49200.00,94010.00,134340.87,18725.21,6241.74,,128099.13,30474.79,20250724_225023,loan_קבועה לא צמודה_int_4.92_term_120_infl_4.0_summary.csv
משתנה צמודה כל 10,3.67,210,3.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_001252,loan_משתנה צמודה כל 10_int_3.67_term_210_infl_3.0_summary.csv
"עוגן מק""מ",3.45,120,3.0,100000,"עוגן מק""מ",בוליט,120,34500.00,108587.50,155172.20,21628.81,7209.60,,147962.60,12871.19,20250724_234640,"loan_עוגן מק""מ_int_3.45_term_120_infl_3.0_summary.csv"
משתנה לא צמודה כל 5,4.97,300,1.0,100000,משתנה לא צמודה כל 5,בוליט,300,124250.00,234964.17,614554.58,200120.53,66706.84,,547847.73,-75870.53,20250724_225834,loan_משתנה לא צמודה כל 5_int_4.97_term_300_infl_1.0_summary.csv
יורו,3.55,360,2.0,100000,יורו,בוליט,360,106500.00,324595.83,1056475.90,400595.27,133531.76,,922944.14,-294095.27,20250725_004745,loan_יורו_int_3.55_term_360_infl_2.0_summary.csv
משתנה צמודה כל 2,3.67,240,1.0,100000,משתנה צמודה כל שנה,בוליט,240,112545.81,174933.93,390747.06,109822.90,36607.63,,354139.43,2722.91,20250725_001928,loan_משתנה צמודה כל 2_int_3.67_term_240_infl_1.0_summary.csv
דולר,3.45,120,1.0,100000,דולר,בוליט,120,34500.00,108587.50,155172.20,21628.81,7209.60,,147962.60,12871.19,20250724_234520,loan_דולר_int_3.45_term_120_infl_1.0_summary.csv
משתנה לא צמודה כל 5,4.92,90,2.0,100000,קבועה לא צמודה,בוליט,90,36900.00,70310.00,91569.90,9645.47,3215.16,,88354.74,27254.53,20250724_230357,loan_משתנה לא צמודה כל 5_int_4.92_term_90_infl_2.0_summary.csv
משתנה צמודה כל שנה,3.63,300,2.0,100000,משתנה צמודה כל שנה,בוליט,300,117814.42,241484.11,651756.49,216881.49,72293.83,,579462.66,-99067.07,20250725_003437,loan_משתנה צמודה כל שנה_int_3.63_term_300_infl_2.0_summary.csv
משתנה צמודה כל 2,3.63,300,3.0,100000,משתנה צמודה כל 2,בוליט,300,135254.66,224185.13,620617.11,209969.46,69989.82,,550627.29,-74714.80,20250725_003543,loan_משתנה צמודה כל 2_int_3.63_term_300_infl_3.0_summary.csv
"עוגן מק""מ",3.67,210,2.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_001004,"loan_עוגן מק""מ_int_3.67_term_210_infl_2.0_summary.csv"
קבועה צמודה,3.35,180,4.0,100000,קבועה צמודה,בוליט,180,68929.26,146378.91,259339.21,54966.37,18322.12,,241017.08,13962.89,20250724_235813,loan_קבועה צמודה_int_3.35_term_180_infl_4.0_summary.csv
משתנה לא צמודה כל 5,4.97,270,4.0,100000,קבועה לא צמודה,בוליט,270,111825.00,211389.17,497170.52,147724.39,49241.46,,447929.05,-35899.39,20250724_231214,loan_משתנה לא צמודה כל 5_int_4.97_term_270_infl_4.0_summary.csv
משתנה צמודה כל 10,3.67,240,4.0,100000,משתנה צמודה כל 10,בוליט,240,112545.81,174933.93,390747.06,109822.90,36607.63,,354139.43,2722.91,20250725_002100,loan_משתנה צמודה כל 10_int_3.67_term_240_infl_4.0_summary.csv
משתנה צמודה כל 2,3.55,330,3.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004334,loan_משתנה צמודה כל 2_int_3.55_term_330_infl_3.0_summary.csv
יורו,3.45,90,3.0,100000,יורו,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233703,loan_יורו_int_3.45_term_90_infl_3.0_summary.csv
זכאות,3.67,240,1.0,100000,זכאות,בוליט,240,81285.16,205888.35,440063.15,118713.69,39571.23,,400491.92,-37428.53,20250725_001504,loan_זכאות_int_3.67_term_240_infl_1.0_summary.csv
"עוגן מק""מ",3.35,180,2.0,100000,"עוגן מק""מ",בוליט,180,50250.00,164829.17,285554.80,58610.13,19536.71,,266018.09,-8360.13,20250725_000211,"loan_עוגן מק""מ_int_3.35_term_180_infl_2.0_summary.csv"
משתנה צמודה כל 5,3.83,30,1.0,100000,משתנה צמודה כל 5,בוליט,300,108821.15,250388.63,664304.17,218497.00,72832.33,,591471.84,-109675.85,20250724_231903,loan_משתנה צמודה כל 5_int_3.83_term_30_infl_1.0_summary.csv
משתנה צמודה כל 10,3.63,270,4.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002851,loan_משתנה צמודה כל 10_int_3.63_term_270_infl_4.0_summary.csv
יורו,3.83,60,3.0,100000,יורו,בוליט,60,19150.00,51969.17,61830.85,4369.97,1456.66,,60374.20,14780.03,20250724_232910,loan_יורו_int_3.83_term_60_infl_3.0_summary.csv
משתנה צמודה כל 2,3.35,180,4.0,100000,משתנה צמודה כל 2,בוליט,180,68929.26,146378.91,259339.21,54966.37,18322.12,,241017.08,13962.89,20250725_000423,loan_משתנה צמודה כל 2_int_3.35_term_180_infl_4.0_summary.csv
קבועה לא צמודה,5.04,60,3.0,100000,קבועה לא צמודה,בוליט,60,25200.00,46020.00,54752.77,3869.71,1289.90,,53462.86,21330.29,20250724_224731,loan_קבועה לא צמודה_int_5.04_term_60_infl_3.0_summary.csv
דולר,3.35,180,4.0,100000,דולר,בוליט,180,50250.00,164829.17,285554.80,58610.13,19536.71,,266018.09,-8360.13,20250725_000145,loan_דולר_int_3.35_term_180_infl_4.0_summary.csv
קבועה צמודה,3.83,30,2.0,100000,קבועה צמודה,בוליט,30,9826.39,25309.13,27580.17,982.51,327.50,,27252.67,8843.88,20250724_231824,loan_קבועה צמודה_int_3.83_term_30_infl_2.0_summary.csv
משתנה צמודה כל 5,3.83,60,4.0,100000,משתנה צמודה כל 5,בוליט,60,21230.96,49958.74,59573.37,4261.76,1420.59,,58152.78,16969.20,20250724_232737,loan_משתנה צמודה כל 5_int_3.83_term_60_infl_4.0_summary.csv
יורו,3.45,90,1.0,100000,יורו,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233637,loan_יורו_int_3.45_term_90_infl_1.0_summary.csv
משתנה צמודה כל 5,3.83,60,1.0,100000,משתנה צמודה כל 5,בוליט,60,19644.80,51490.72,61292.84,4343.87,1447.96,,59844.88,15300.93,20250724_232658,loan_משתנה צמודה כל 5_int_3.83_term_60_infl_1.0_summary.csv
משתנה צמודה כל 2,3.67,210,2.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_001147,loan_משתנה צמודה כל 2_int_3.67_term_210_infl_2.0_summary.csv
דולר,3.83,30,3.0,100000,דולר,בוליט,30,9575.00,25544.17,27829.45,988.63,329.54,,27499.90,8586.37,20250724_232208,loan_דולר_int_3.83_term_30_infl_3.0_summary.csv
"עוגן מק""מ",3.83,30,4.0,100000,"עוגן מק""מ",בוליט,300,95750.00,263369.17,688848.56,224313.26,74771.09,,614077.47,-128563.26,20250724_232313,"loan_עוגן מק""מ_int_3.83_term_30_infl_4.0_summary.csv"
משתנה לא צמודה כל 5,4.83,180,3.0,100000,משתנה לא צמודה כל 5,בוליט,180,72450.00,142752.50,247308.55,50760.09,16920.03,,230388.52,21689.91,20250724_225341,loan_משתנה לא צמודה כל 5_int_4.83_term_180_infl_3.0_summary.csv
יורו,3.63,300,1.0,100000,יורו,בוליט,300,90750.00,268352.50,701882.59,228557.60,76185.87,,625696.72,-137807.60,20250725_003144,loan_יורו_int_3.63_term_300_infl_1.0_summary.csv
קבועה צמודה,3.83,30,1.0,100000,קבועה צמודה,בוליט,30,9699.68,25427.56,27705.77,985.59,328.53,,27377.24,8714.09,20250724_231811,loan_קבועה צמודה_int_3.83_term_30_infl_1.0_summary.csv
יורו,3.83,30,2.0,100000,יורו,בוליט,30,9575.00,25544.17,27829.45,988.63,329.54,,27499.90,8586.37,20250724_232102,loan_יורו_int_3.83_term_30_infl_2.0_summary.csv
יורו,3.35,150,2.0,100000,יורו,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235234,loan_יורו_int_3.35_term_150_infl_2.0_summary.csv
יורו,3.67,240,3.0,100000,יורו,בוליט,240,73400.00,213705.83,452927.94,121169.82,40389.94,,412538.00,-47769.82,20250725_001623,loan_יורו_int_3.67_term_240_infl_3.0_summary.csv
משתנה צמודה כל 2,3.45,120,1.0,100000,משתנה צמודה כל שנה,בוליט,120,42475.43,100753.18,145288.10,20698.96,6899.65,,138388.44,21776.47,20250724_234759,loan_משתנה צמודה כל 2_int_3.45_term_120_infl_1.0_summary.csv
קבועה צמודה,3.45,90,1.0,100000,קבועה צמודה,בוליט,90,26880.80,80229.08,104594.99,11056.09,3685.36,,100909.63,15824.70,20250724_233400,loan_קבועה צמודה_int_3.45_term_90_infl_1.0_summary.csv
זכאות,3.63,270,3.0,100000,זכאות,בוליט,270,116739.01,206654.61,507848.28,156287.93,52095.98,,455752.30,-39548.92,20250725_002324,loan_זכאות_int_3.63_term_270_infl_3.0_summary.csv
"עוגן מק""מ",3.55,330,2.0,100000,דולר,בוליט,330,97625.00,297470.83,867047.07,306064.29,102021.43,,765025.64,-208439.29,20250725_004137,"loan_עוגן מק""מ_int_3.55_term_330_infl_2.0_summary.csv"
זכאות,3.45,90,3.0,100000,זכאות,בוליט,90,29049.12,78110.82,102074.27,10876.68,3625.56,,98448.71,18172.45,20250724_233610,loan_זכאות_int_3.45_term_90_infl_3.0_summary.csv
דולר,3.45,120,2.0,100000,דולר,בוליט,120,34500.00,108587.50,155172.20,21628.81,7209.60,,147962.60,12871.19,20250724_234534,loan_דולר_int_3.45_term_120_infl_2.0_summary.csv
משתנה לא צמודה כל 5,4.97,300,4.0,100000,משתנה לא צמודה כל 5,בוליט,300,124250.00,234964.17,614554.58,200120.53,66706.84,,547847.73,-75870.53,20250724_231241,loan_משתנה לא צמודה כל 5_int_4.97_term_300_infl_4.0_summary.csv
קבועה לא צמודה,4.97,270,2.0,100000,קבועה לא צמודה,בוליט,270,111825.00,211389.17,497170.52,147724.39,49241.46,,447929.05,-35899.39,20250724_231056,loan_קבועה לא צמודה_int_4.97_term_270_infl_2.0_summary.csv
קבועה צמודה,3.67,240,3.0,100000,קבועה צמודה,בוליט,240,100656.71,186700.14,409234.82,113070.11,37690.04,,371544.78,-12413.40,20250725_001345,loan_קבועה צמודה_int_3.67_term_240_infl_3.0_summary.csv
משתנה צמודה כל 10,3.45,120,2.0,100000,משתנה צמודה כל 10,בוליט,120,38220.50,104930.60,150539.88,21186.01,7062.00,,143477.87,17034.48,20250724_234904,loan_משתנה צמודה כל 10_int_3.45_term_120_infl_2.0_summary.csv
משתנה צמודה כל 5,3.83,30,4.0,100000,משתנה צמודה כל 5,בוליט,300,164639.99,195026.15,564878.82,196497.97,65499.32,,499379.50,-31857.98,20250724_231943,loan_משתנה צמודה כל 5_int_3.83_term_30_infl_4.0_summary.csv
דולר,3.83,60,1.0,100000,דולר,בוליט,60,19150.00,51969.17,61830.85,4369.97,1456.66,,60374.20,14780.03,20250724_232936,loan_דולר_int_3.83_term_60_infl_1.0_summary.csv
יורו,3.63,270,2.0,100000,יורו,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002404,loan_יורו_int_3.63_term_270_infl_2.0_summary.csv
"עוגן מק""מ",3.67,210,1.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_000951,"loan_עוגן מק""מ_int_3.67_term_210_infl_1.0_summary.csv"
משתנה צמודה כל שנה,3.35,180,2.0,100000,משתנה צמודה כל שנה,בוליט,180,58642.47,156534.27,273657.04,56916.94,18972.31,,254684.73,1725.53,20250725_000304,loan_משתנה צמודה כל שנה_int_3.35_term_180_infl_2.0_summary.csv
פריים,5.05,360,3.0,100000,פריים,בוליט,360,151500.00,279720.83,910419.32,345213.43,115071.14,,795348.18,-193713.43,20250724_231558,loan_פריים_int_5.05_term_360_infl_3.0_summary.csv
משתנה צמודה כל שנה,3.67,210,2.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_001055,loan_משתנה צמודה כל שנה_int_3.67_term_210_infl_2.0_summary.csv
משתנה צמודה כל שנה,3.83,30,3.0,100000,משתנה צמודה כל שנה,בוליט,300,142706.71,216768.34,603105.64,204700.98,68233.66,,534871.98,-61994.27,20250724_232353,loan_משתנה צמודה כל שנה_int_3.83_term_30_infl_3.0_summary.csv
משתנה צמודה כל שנה,3.63,270,2.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002642,loan_משתנה צמודה כל שנה_int_3.63_term_270_infl_2.0_summary.csv
דולר,3.45,90,4.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_233809,loan_דולר_int_3.45_term_90_infl_4.0_summary.csv
"עוגן מק""מ",3.63,270,2.0,100000,דולר,בוליט,270,81675.00,241427.50,567818.29,168715.98,56238.66,,511579.63,-87040.98,20250725_002550,"loan_עוגן מק""מ_int_3.63_term_270_infl_2.0_summary.csv"
משתנה צמודה כל 10,3.45,90,1.0,100000,דולר,בוליט,90,25875.00,81212.50,105769.03,11141.12,3713.71,,102055.32,14733.88,20250724_234057,loan_משתנה צמודה כל 10_int_3.45_term_90_infl_1.0_summary.csv
משתנה לא צמודה כל 5,5.04,60,1.0,100000,משתנה לא צמודה כל 5,בוליט,60,25200.00,46020.00,54752.77,3869.71,1289.90,,53462.86,21330.29,20250724_224757,loan_משתנה לא צמודה כל 5_int_5.04_term_60_infl_1.0_summary.csv
קבועה לא צמודה,4.97,300,1.0,100000,קבועה לא צמודה,בוליט,300,124250.00,234964.17,614554.58,200120.53,66706.84,,547847.73,-75870.53,20250724_225740,loan_קבועה לא צמודה_int_4.97_term_300_infl_1.0_summary.csv
קבועה צמודה,3.55,330,4.0,100000,קבועה צמודה,בוליט,330,177973.74,217713.37,713071.76,268391.24,89463.75,,623608.02,-90417.50,20250725_003741,loan_קבועה צמודה_int_3.55_term_330_infl_4.0_summary.csv
קבועה צמודה,3.67,210,2.0,100000,קבועה צמודה,בוליט,210,76951.08,174282.79,338434.33,81544.49,27181.50,,311252.83,-4593.41,20250725_000541,loan_קבועה צמודה_int_3.67_term_210_infl_2.0_summary.csv
יורו,3.83,30,4.0,100000,יורו,בוליט,30,9575.00,25544.17,27829.45,988.63,329.54,,27499.90,8586.37,20250724_232128,loan_יורו_int_3.83_term_30_infl_4.0_summary.csv
זכאות,3.67,210,4.0,100000,זכאות,בוליט,210,93106.18,158308.97,314577.77,77790.99,25930.33,,288647.44,15315.19,20250725_000752,loan_זכאות_int_3.67_term_210_infl_4.0_summary.csv
פריים,4.96,240,3.0,100000,פריים,בוליט,240,99200.00,188013.33,398475.28,106602.34,35534.11,,362941.17,-7402.34,20250724_225434,loan_פריים_int_4.96_term_240_infl_3.0_summary.csv
משתנה צמודה כל שנה,3.67,210,3.0,100000,דולר,בוליט,210,64225.00,186880.83,357696.96,84730.05,28243.35,,329453.61,-20505.05,20250725_001108,loan_משתנה צמודה כל שנה_int_3.67_term_210_infl_3.0_summary.csv
זכאות,3.55,330,3.0,100000,זכאות,בוליט,330,151789.90,243684.46,761374.82,279663.17,93221.06,,668153.76,-127873.27,20250725_003912,loan_זכאות_int_3.55_term_330_infl_3.0_summary.csv
פריים,5.05,330,2.0,100000,פריים,בוליט,330,138875.00,256345.83,747178.81,263751.26,87917.09,,659261.73,-124876.26,20250724_231307,loan_פריים_int_5.05_term_330_infl_2.0_summary.csv
דולר,3.55,360,4.0,100000,דולר,בוליט,360,106500.00,324595.83,1056475.90,400595.27,133531.76,,922944.14,-294095.27,20250725_004905,loan_דולר_int_3.55_term_360_infl_4.0_summary.csv
משתנה צמודה כל 5,3.35,150,2.0,100000,קבועה צמודה,בוליט,150,54396.36,124863.52,199113.39,35317.01,11772.34,,187341.05,19079.36,20250724_235049,loan_משתנה צמודה כל 5_int_3.35_term_150_infl_2.0_summary.csv
קבועה לא צמודה,4.83,180,2.0,100000,קבועה לא צמודה,בוליט,180,72450.00,142752.50,247308.55,50760.09,16920.03,,230388.52,21689.91,20250724_225235,loan_קבועה לא צמודה_int_4.83_term_180_infl_2.0_summary.csv
יורו,3.45,120,1.0,100000,יורו,בוליט,120,34500.00,108587.50,155172.20,21628.81,7209.60,,147962.60,12871.19,20250724_234428,loan_יורו_int_3.45_term_120_infl_1.0_summary.csv
משתנה צמודה כל 2,3.35,150,3.0,100000,דולר,בוליט,150,41875.00,137204.17,215631.50,37244.66,12414.89,,203216.61,4630.34,20250724_235615,loan_משתנה צמודה כל 2_int_3.35_term_150_infl_3.0_summary.csv
זכאות,3.35,150,3.0,100000,זכאות,בוליט,150,50858.19,128347.81,203738.72,35842.77,11947.59,,191791.13,15015.42,20250724_235154,loan_זכאות_int_3.35_term_150_infl_3.0_summary.csv
"עוגן מק""מ",3.55,360,3.0,100000,"עוגן מק""מ",בוליט,360,106500.00,324595.83,1056475.90,400595.27,133531.76,,922944.14,-294095.27,20250725_004945,"loan_עוגן מק""מ_int_3.55_term_360_infl_3.0_summary.csv"
פריים,5.05,360,1.0,100000,פריים,בוליט,360,151500.00,279720.83,910419.32,345213.43,115071.14,,795348.18,-193713.43,20250724_231532,loan_פריים_int_5.05_term_360_infl_1.0_summary.csv
זכאות,3.63,270,4.0,100000,זכאות,בוליט,270,132565.58,190977.34,481791.30,151197.71,50399.24,,431392.06,-18632.13,20250725_002338,loan_זכאות_int_3.63_term_270_infl_4.0_summary.csv
משתנה צמודה כל שנה,3.45,120,2.0,100000,משתנה צמודה כל שנה,בוליט,120,38220.50,104930.60,150539.88,21186.01,7062.00,,143477.87,17034.48,20250724_234719,loan_משתנה צמודה כל שנה_int_3.45_term_120_infl_2.0_summary.csv
משתנה צמודה כל 5,3.67,240,4.0,100000,משתנה צמודה כל 5,בוליט,240,112545.81,174933.93,390747.06,109822.90,36607.63,,354139.43,2722.91,20250725_001451,loan_משתנה צמודה כל 5_int_3.67_term_240_infl_4.0_summary.csv
משתנה צמודה כל 5,3.45,120,4.0,100000,משתנה צמודה כל 5,בוליט,120,42475.43,100753.18,145288.10,20698.96,6899.65,,138388.44,21776.47,20250724_234321,loan_משתנה צמודה כל 5_int_3.45_term_120_infl_4.0_summary.csv
קבועה צמודה,3.35,180,3.0,100000,קבועה צמודה,בוליט,180,63521.62,151715.96,266833.67,55976.65,18658.88,,248174.78,7544.96,20250724_235759,loan_קבועה צמודה_int_3.35_term_180_infl_3.0_summary.csv
קבועה לא צמודה,4.96,240,3.0,100000,קבועה לא צמודה,בוליט,240,99200.00,188013.33,398475.28,106602.34,35534.11,,362941.17,-7402.34,20250724_225528,loan_קבועה לא צמודה_int_4.96_term_240_infl_3.0_summary.csv
